manufacturer_id,manufacturer_name,manufacturer_recall_count
116,St. Jude Medical Ab || St Jude Medical || St. Jude Medical Operations Sdn Bhd || St. Jude Medical. Cardiac Rhythm Management Division,1.0
117,St. Jude Medical Cardiac Rhythm Managment Division || St. Jude Medical Operations || St. Jude Medical Puerto Rico Llc,1.0
118,"St. Jude Medical Puerto Rico, Llc. || Advanced Neuromodulation Systems, Inc. || St Jude Medical",1.0
119,St. Jude Medical. Cardiac Rhythm Management Division,1.0
120,Thoratec Corporation,1.0
121,,358.0
122,ACCURAY INCORPORATED,2.0
123,Accuray Incorporated,1.0
124,Acutronic Medical Systems Agfabrik Im Schiffli,1.0
125,AFGA Healthcare NV,1.0
126,Afga Healthcare NV,2.0
127,Agfa Healthcare N.V.,4.0
128,DAKO || Importer: ROCHEM BIOCARE COLOMBIA S.A.S,1.0
129,DAKO || Importer: ROCHEM BIOCARE DE COLOMBIA,1.0
130,"DAKO DENMARK A/S , DAKO NORTH AMERICA || Importer:  ROCHEM BIOCARE COLOMBIA S.A. S",1.0
131,DAKO DENMARK A/S.,1.0
132,DAKO INC. || Importer: ROCHEM BIOCARE,1.0
133,DAKO NORTH AMERICA INC,2.0
134,"DAKO NORTH AMERICA, INC. || Imported by: EQUIMED LTDA. || ROCHEM BIOCARE COLOMBIA S.A.S.",1.0
135,"Zeltiq Aesthetics, Inc",1.0
136,ANNAR DIAGNOSTICA,1.0
137,ANNAR DIAGNOSTICA IMPORT S.A.S. || Brand. Diasource,1.0
138,"Ansell Lanka (Pvt.), Ltd || Ansell Healthcare Products Llc || Ansell N.P. Sdn. Bhd.",1.0
139,Applied Medical Resources,2.0
140,Arcadophta Sarl,1.0
141,Zoll Medical Corporation,3.0
142,Balt Extrusion,2.0
143,Bausch & Lomb Incorporated,2.0
144,Baxter Healthcare Corporation,1.0
145,Baxter Healthcare Corporation || Baxter Healthcare S.A,1.0
146,Baxter Healthcare Corporation || Baxter Healthcare S.A.,1.0
147,Baxter Healthcare S.A. || Baxter Healthcare Corporation,1.0
148,Baxter Hospitalar Ltda.,2.0
149,Gambro Lundia AB,2.0
150,Gambro Lundia Ab,1.0
151,"Gambro Renal Products, Inc.",1.0
152,Synovis Surgical Innovations,1.0
153,Bayer Medical Care Inc,2.0
154,Baylis & Harding Co,1.0
155,"Bard Peripheral Vascular, Inc.",1.0
156,"Bd Medical - Diabetes Care || Becton, Dickinson & Co",1.0
157,BECKTON DICKINSON || Importer:  BECKTON DICKINSON COLOMBIA LTDA,2.0
158,BECTON  DICKINSON  &  CO  CON  DOMICILIO  EN || ESTADOS UNIDOS DE AMÉRICA. || Importer:  BECTON  DICKINSON  DE  COLOMBIA || LTDA.,1.0
159,BECTON  DICKINSON  &  COMPANY  CON  DOMICILIO  EN || ESTADOS UNIDOS DE AMÉRICA. || Imported by:  BECTON  DICKINSON  DE  COLOMBIA || LTDA.,1.0
160,"BECTON  DICKINSON  AND  COMPANY,  BD || BISOCIENCES || Importer:  BECTON  DICKINSON  DE  COLOMBIA || LTDA",1.0
161,"Becton Dickinson & Co. || Becton Dickinson & Company || Tokuyama Sekisui Co., Ltd || Becton Dickinson & Co. || Becton Dickinson & Company",1.0
162,Becton Dickinson and company,1.0
163,Becton Dickinson and Company,2.0
164,Becton Dickinson And Company (BD),1.0
165,Becton Dickinson And Company || Becton Dickinson Infusion Theraphy Systems Inc,1.0
166,"Becton Dickinson and Company || Tripath Imaging, Inc.",1.0
167,BECTON DICKISON,1.0
168,Caesarea Medical Electronics Ltd.,2.0
169,"Cr Bard Inc || Bard Peripheral Vascular, Inc.",1.0
170,GENEOHM SCIENCES CANADA INC || Importer:  BECTON DICKINSON DE COLOMBIA LTDA,1.0
171,"Carefusion || Productos Urólogos de México, S.A. De C.V. || Carefusion 211, Inc Dba Carefusion",1.0
172,Carefusion UK 232,1.0
173,Carefusion Uk 232,1.0
174,Carefusion Uk Switzrland 317 Sárl || Plexus Services Ro S.R.L. || Care Fusion Uk 305 Ltd || Carefusion Uk 232,1.0
175,Carefusion UK232,1.0
176,Bedfont Scientific Ltd,1.0
177,Bentley Innomed Gmbh,1.0
178,BIO RAD || Imported by:  QUIK QUALITY IS THE KEY S.A.S.,1.0
179,BIO RAD LABORATORIES INC || Imported by:  QUIK QUALITY IS THE KEY S.A.S.,1.0
180,BIO-RAD y DIAMED GmbH || Imported by: BIOCIENTIFICA LTDA.,1.0
181,"Bioteck Industria ,Comercio",1.0
182,Boston Scientific Corporation,11.0
183,Boston Scientific Corporation || Cardiac Pacemakers Incorporated,2.0
184,Boston Scientific Corporation USA,1.0
185,"Acist Medical Systems, Inc.",1.0
186,Brainlab AG,2.0
187,Brainlab Ag,4.0
188,Brainlab AG.,1.0
189,Brainlab Sales Gmbh || Brainlab Ag,1.0
190,BUHLMANN LABORATORIES AG || Imported by: VELEZ LAB  Y CIA S.A.,1.0
191,CAIR LGL,1.0
192,Toshiba Medical Systems Corporation || Gemss Medical Systems Co. Ltd || Toshiba Dalian Co. Ltd,1.0
193,Toshiba Medical Systems Corporation || Toshiba Corporation Medical Sistems Company,1.0
194,Toshiba Medical Systems Manufacturing Asia Sdn. Bhd || Toshiba Medical Systems Corporation,2.0
195,Cardiac Science Corporation Inc.,1.0
